variable,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significant
const,1.2819924889759164,2.223251496619272,0.5766295405289704,0.5800479732711781,-3.8448346558269746,6.4088196337788075,False
FT_meta_adaptive,3.8046669674633415,2.0659044385722662,1.8416471238586056,0.10278541640687171,-0.9593172108209451,8.568651145747628,False
FT_physically_constrained,-1.836648023466441,3.080979109648993,-0.5961247895886204,0.5675716587585953,-8.941398590794668,5.268102543861787,False
FT_strongly_coupled,-0.7193579985283189,2.072533429523641,-0.3470911437571643,0.7374768199926172,-5.498628657358707,4.059912660302069,False
FT_weakly_coupled,-1.7830474034175068,2.3731303161466695,-0.7513482893399214,0.47396354495896476,-7.255495725830096,3.6894009189950823,False
coupling_memory,4.471012255355548,4.652525963016778,0.9609859871596432,0.36470063342646936,-6.257731854505886,15.199756365216983,False
SNR,0.38652518188767593,0.3540114293626912,1.091843793245652,0.3066892261225584,-0.42982663813222743,1.2028770019075794,False
