constant1,constant2,value1,value2,formula,v_pred,deviation,relative_error,sigma_discrepancy
sqrt3,phi_squared,1.7320508075688772,2.618033988749895,c / (sqrt3 · phi_squared),66112.68496554828,64742.68496554828,47.2574342814221,6474.268496554828
pi,sqrt2,3.141592653589793,1.4142135623730951,c / (pi · sqrt2),67477.01034956098,66107.01034956098,48.25329222595692,6610.701034956098
phi,e,1.618033988749895,2.718281828459045,c / (phi · e),68161.4123580074,66791.4123580074,48.75285573577182,6679.141235800739
phi,phi_squared,1.618033988749895,2.618033988749895,c / (phi · phi_squared),70771.39922975065,69401.39922975065,50.65795564215376,6940.139922975065
strong_coupling,phi_cubed,1.0,4.23606797749979,c / (strong_coupling · phi_cubed),70771.39922975065,69401.39922975065,50.65795564215376,6940.139922975065
sqrt3,sqrt5,1.7320508075688772,2.23606797749979,c / (sqrt3 · sqrt5),77406.07981017242,76036.07981017242,55.50078818260761,7603.607981017242
e,sqrt2,2.718281828459045,1.4142135623730951,c / (e · sqrt2),77985.02634311271,76615.02634311271,55.923376892783,7661.502634311271
pi,zeta3,3.141592653589793,1.2020569,c / (pi · zeta3),79386.34451059582,78016.34451059582,56.94623686904804,7801.634451059583
sqrt2,phi_squared,1.4142135623730951,2.618033988749895,c / (sqrt2 · phi_squared),80971.17184548307,79601.17184548307,58.10304514268837,7960.117184548307
phi,sqrt5,1.618033988749895,2.23606797749979,c / (phi · sqrt5),82860.59747702492,81490.59747702492,59.48218793943425,8149.059747702491
e,zeta3,2.718281828459045,1.2020569,c / (e · zeta3),91748.96955082001,90378.96955082001,65.9700507670219,9037.896955082
sqrt2,sqrt5,1.4142135623730951,2.23606797749979,c / (sqrt2 · sqrt5),94802.69926203671,93432.69926203671,68.19905055623117,9343.269926203671
zeta3,phi_squared,1.2020569,2.618033988749895,c / (zeta3 · phi_squared),95262.15388400055,93892.15388400055,68.53441889343107,9389.215388400055
strong_coupling,pi,1.0,3.141592653589793,c / (strong_coupling · pi),95426.90318473884,94056.90318473884,68.65467385747361,9405.690318473884
phi,sqrt3,1.618033988749895,1.7320508075688772,c / (phi · sqrt3),106972.57136177129,105602.57136177129,77.08216887720532,10560.25713617713
strong_coupling,e,1.0,2.718281828459045,c / (strong_coupling · e),110287.48191645309,108917.48191645309,79.50181161784897,10891.748191645309
sqrt5,zeta3,2.23606797749979,1.2020569,c / (sqrt5 · zeta3),111534.87247230153,110164.87247230153,80.4123156732128,11016.487247230154
strong_coupling,phi_squared,1.0,2.618033988749895,c / (strong_coupling · phi_squared),114510.52938512467,113140.52938512467,82.58432801833918,11314.052938512466
