control_strength,drift_rate,beta_gain,replicate,seed,beta_hat,theta_hat,r_squared,tau_break,tau_delay,control_energy,beta_shift,delta_aic_linear,delta_aic_constant,meta_resonance_control_centrality,meta_resonance_crep,meta_resonance_combined
0.25,0.008,0.8,0,1337,4.624760615583451,-0.023863796480607512,0.9889326680315081,112.5,nan,5.06249999715702,0.4247606155834509,5942.858887578175,10811.521939735883,0.3732208307334808,0.07302658553632228,0.027255042919495796
0.25,0.008,0.8,1,1338,4.624760615583451,-0.023863796480607512,0.9889326680315081,112.5,nan,5.06249999715702,0.4247606155834509,5942.858887578175,10811.521939735883,0.3732208307334808,0.07302658553632228,0.027255042919495796
0.25,0.008,0.8,2,1339,4.624760615583451,-0.023863796480607512,0.9889326680315081,112.5,nan,5.06249999715702,0.4247606155834509,5942.858887578175,10811.521939735883,0.3732208307334808,0.07302658553632228,0.027255042919495796
0.25,0.008,1.0,0,1340,4.736468170977242,-0.028520238694447232,0.9834404022399102,112.5,nan,5.06249999715702,0.5364681709772414,5313.82302420805,9843.995397827397,0.4215351654086269,0.07005709047527449,0.02953152722154197
0.25,0.008,1.0,1,1341,4.736468170977242,-0.028520238694447232,0.9834404022399102,112.5,nan,5.06249999715702,0.5364681709772414,5313.82302420805,9843.995397827397,0.4215351654086269,0.07005709047527449,0.02953152722154197
0.25,0.008,1.0,2,1342,4.736468170977242,-0.028520238694447232,0.9834404022399102,112.5,nan,5.06249999715702,0.5364681709772414,5313.82302420805,9843.995397827397,0.4215351654086269,0.07005709047527449,0.02953152722154197
0.25,0.008,1.2,0,1343,4.850552995462688,-0.032715846334659765,0.9771193699423291,112.5,nan,5.06249999715702,0.6505529954626876,4843.881338666139,9067.692445449129,0.47189041292243344,0.0672202213813547,0.031720578024384855
0.25,0.008,1.2,1,1344,4.850552995462688,-0.032715846334659765,0.9771193699423291,112.5,nan,5.06249999715702,0.6505529954626876,4843.881338666139,9067.692445449129,0.47189041292243344,0.0672202213813547,0.031720578024384855
0.25,0.008,1.2,2,1345,4.850552995462688,-0.032715846334659765,0.9771193699423291,112.5,nan,5.06249999715702,0.6505529954626876,4843.881338666139,9067.692445449129,0.47189041292243344,0.0672202213813547,0.031720578024384855
0.25,0.01,0.8,0,1346,4.815316034611663,-0.004153854712155625,0.9969329920655596,90.0,nan,5.06249999715702,0.6153160346116628,8856.134918292224,13892.71378916774,0.3732208307334808,0.17675081691410008,0.0659670867215018
0.25,0.01,0.8,1,1347,4.815316034611663,-0.004153854712155625,0.9969329920655596,90.0,nan,5.06249999715702,0.6153160346116628,8856.134918292224,13892.71378916774,0.3732208307334808,0.17675081691410008,0.0659670867215018
0.25,0.01,0.8,2,1348,4.815316034611663,-0.004153854712155625,0.9969329920655596,90.0,nan,5.06249999715702,0.6153160346116628,8856.134918292224,13892.71378916774,0.3732208307334808,0.17675081691410008,0.0659670867215018
0.25,0.01,1.0,0,1349,4.98352495582733,-0.004552767816235441,0.9956940164230692,90.0,nan,5.06249999715702,0.7835249558273301,8298.010239979507,13078.04701539916,0.4215351654086269,0.1758267230888399,0.07411714680051096
0.25,0.01,1.0,1,1350,4.98352495582733,-0.004552767816235441,0.9956940164230692,90.0,nan,5.06249999715702,0.7835249558273301,8298.010239979507,13078.04701539916,0.4215351654086269,0.1758267230888399,0.07411714680051096
0.25,0.01,1.0,2,1351,4.98352495582733,-0.004552767816235441,0.9956940164230692,90.0,nan,5.06249999715702,0.7835249558273301,8298.010239979507,13078.04701539916,0.4215351654086269,0.1758267230888399,0.07411714680051096
0.25,0.01,1.2,0,1352,5.1576011289219466,-0.004765868108467546,0.9944272798165266,90.0,nan,5.06249999715702,0.9576011289219464,7909.892536594643,12458.882626315675,0.47189041292243344,0.17494161963252008,0.08255327312570919
0.25,0.01,1.2,1,1353,5.1576011289219466,-0.004765868108467546,0.9944272798165266,90.0,nan,5.06249999715702,0.9576011289219464,7909.892536594643,12458.882626315675,0.47189041292243344,0.17494161963252008,0.08255327312570919
0.25,0.01,1.2,2,1354,5.1576011289219466,-0.004765868108467546,0.9944272798165266,90.0,nan,5.06249999715702,0.9576011289219464,7909.892536594643,12458.882626315675,0.47189041292243344,0.17494161963252008,0.08255327312570919
0.25,0.012,0.8,0,1355,4.861694614026196,0.0004163026715128961,0.9985423490790423,75.0,8.349999999999994,5.06249999715702,0.6616946140261959,9839.233253211638,15678.760762553555,0.3732208307334808,0.3236352161444762,0.12078740422405103
0.25,0.012,0.8,1,1356,4.861694614026196,0.0004163026715128961,0.9985423490790423,75.0,8.25,5.06249999715702,0.6616946140261959,9839.233253211638,15678.760762553555,0.3732208307334808,0.3236352161444762,0.12078740422405103
0.25,0.012,0.8,2,1357,4.861694614026196,0.0004163026715128961,0.9985423490790423,75.0,8.5,5.06249999715702,0.6616946140261959,9839.233253211638,15678.760762553555,0.3732208307334808,0.3236352161444762,0.12078740422405103
0.25,0.012,1.0,0,1358,5.038946915925616,0.0004969921301798807,0.997993541137748,75.0,8.25,5.06249999715702,0.8389469159256162,9291.643145647477,14911.532673572747,0.4215351654086269,0.32701949500737487,0.13785021691977942
0.25,0.012,1.0,1,1359,5.038946915925616,0.0004969921301798807,0.997993541137748,75.0,8.349999999999994,5.06249999715702,0.8389469159256162,9291.643145647477,14911.532673572747,0.4215351654086269,0.32701949500737487,0.13785021691977942
0.25,0.012,1.0,2,1360,5.038946915925616,0.0004969921301798807,0.997993541137748,75.0,8.700000000000003,5.06249999715702,0.8389469159256162,9291.643145647477,14911.532673572747,0.4215351654086269,0.32701949500737487,0.13785021691977942
0.25,0.012,1.2,0,1361,5.220757298023644,0.0005617366949123864,0.997453736053714,75.0,8.299999999999997,5.06249999715702,1.0207572980236437,8916.945297225491,14339.480599917639,0.47189041292243344,0.3303447721155041,0.1558865309203524
0.25,0.012,1.2,1,1362,5.220757298023644,0.0005617366949123864,0.997453736053714,75.0,8.75,5.06249999715702,1.0207572980236437,8916.945297225491,14339.480599917639,0.47189041292243344,0.3303447721155041,0.1558865309203524
0.25,0.012,1.2,2,1363,5.220757298023644,0.0005617366949123864,0.997453736053714,75.0,8.399999999999991,5.06249999715702,1.0207572980236437,8916.945297225491,14339.480599917639,0.47189041292243344,0.3303447721155041,0.1558865309203524
0.35,0.008,0.8,0,1364,4.439876290454949,-0.047979069279531675,0.9764356225899613,112.5,nan,9.922499994427758,0.23987629045494874,3980.745379509757,8996.993952903218,0.5225091630268731,0.045780124619467386,0.02392053459818385
0.35,0.008,0.8,1,1365,4.439876290454949,-0.047979069279531675,0.9764356225899613,112.5,nan,9.922499994427758,0.23987629045494874,3980.745379509757,8996.993952903218,0.5225091630268731,0.045780124619467386,0.02392053459818385
0.35,0.008,0.8,2,1366,4.439876290454949,-0.047979069279531675,0.9764356225899613,112.5,nan,9.922499994427758,0.23987629045494874,3980.745379509757,8996.993952903218,0.5225091630268731,0.045780124619467386,0.02392053459818385
0.35,0.008,1.0,0,1367,4.487798474446147,-0.06009733213013089,0.9635917531144951,112.5,nan,9.922499994427758,0.2877984744461468,3342.7158134615856,7952.416881276775,0.5901492315720778,0.04309324221982373,0.025431443781978393
0.35,0.008,1.0,1,1368,4.487798474446147,-0.06009733213013089,0.9635917531144951,112.5,nan,9.922499994427758,0.2877984744461468,3342.7158134615856,7952.416881276775,0.5901492315720778,0.04309324221982373,0.025431443781978393
0.35,0.008,1.0,2,1369,4.487798474446147,-0.06009733213013089,0.9635917531144951,112.5,nan,9.922499994427758,0.2877984744461468,3342.7158134615856,7952.416881276775,0.5901492315720778,0.04309324221982373,0.025431443781978393
0.35,0.008,1.2,0,1370,4.529714147811031,-0.07246600555957883,0.9480486399985545,112.5,nan,9.922499994427758,0.32971414781103103,2867.8845064641246,7098.831165943022,0.6606465780914069,0.0405825981344984,0.026810754587615084
0.35,0.008,1.2,1,1371,4.529714147811031,-0.07246600555957883,0.9480486399985545,112.5,nan,9.922499994427758,0.32971414781103103,2867.8845064641246,7098.831165943022,0.6606465780914069,0.0405825981344984,0.026810754587615084
0.35,0.008,1.2,2,1372,4.529714147811031,-0.07246600555957883,0.9480486399985545,112.5,nan,9.922499994427758,0.32971414781103103,2867.8845064641246,7098.831165943022,0.6606465780914069,0.0405825981344984,0.026810754587615084
0.35,0.01,0.8,0,1373,4.746293072388137,-0.009591071363704327,0.9947555367450949,90.0,nan,9.922499994427758,0.5462930723881367,7613.874036737965,12604.64828715994,0.5225091630268731,0.12337571760360871,0.06446494294290145
0.35,0.01,0.8,1,1374,4.746293072388137,-0.009591071363704327,0.9947555367450949,90.0,nan,9.922499994427758,0.5462930723881367,7613.874036737965,12604.64828715994,0.5225091630268731,0.12337571760360871,0.06446494294290145
0.35,0.01,0.8,2,1375,4.746293072388137,-0.009591071363704327,0.9947555367450949,90.0,nan,9.922499994427758,0.5462930723881367,7613.874036737965,12604.64828715994,0.5225091630268731,0.12337571760360871,0.06446494294290145
